Año,Bonos,Acciones,Mercado Monetario
1980,20.2553,262.935,100
1981,25.686,268.73,102.33
1982,23.4297,284.09,105.33
1983,28.7463,289.162,108.89
1984,33.4484,299.894,113.08
1985,37.5813,302.695,117.97
1986,33.7839,318.197,124.34
1987,41.8725,309.103,129.94
1988,46.4795,316.051,137.77
1989,42.5448,298.249,150.12
1990,44.2212,354.671,157.48
1991,50.5451,394.532,164
1992,60.1461,403.942,172.74
1993,51.3114,417.252,189.93
1994,37.7306,433.927,206.13
1995,51.7772,457.885,216.85
1996,64.1659,529.141,226.93
1997,59.5739,531.144,241.82
1998,63.4884,524.435,266.07
1999,75.3032,531.04,302.74
2000,99.7795,517.86,359.96
2001,94.8671,538.769,404.48
2002,115.308,777.332,440.68
2003,141.316,787.357,482.42
2004,150.181,907.712,522.84
2005,197.829,1200.63,566.08
2006,234.755,1469.45,605.2
2007,247.08,1424.71,646.17
2008,288.116,1522.4,702.77
2009,379.409,1804.63,762.16
2010,367.636,1944.25,817.87
2011,479.633,2320.64,854.1
2012,516.178,2490.97,879.04
2013,568.202,2816.4,905.06
2014,575.705,2610.12,954.39
2015,792.042,3287.27,1007.84
2016,973.897,3291.58,1061.15
2017,1298.82,3687.33,1119.51
2018,1670.01,4220.24,1171.91
2019,2021.4,3903.32,1234.02
2020,1837.36,4575.33,1313
2021,1618.98,4827.26,1336.89
2022,1261.18,5558.4,1353.47
2023,1622.94,5588.19,1366.73
